Title,Genre(s),Developer(s),Publisher(s),Release date
Discs of Tron,Classics,Midway Games/,Disney Interactive Studios,13-Feb-08
Dishonored[note 12],Action,Arkane Studios,Bethesda Softworks,9-Oct-12
"Dishwasher: Dead Samurai, TheThe Dishwasher: Dead Samurai",Action & Adventure,Ska Studios,Microsoft Studios,1-Apr-09
"Dishwasher: Vampire Smile, TheThe Dishwasher: Vampire Smile",Action & Adventure,Ska Studios,Microsoft Studios,6-Apr-11
Disney Infinity,Action-adventure,Avalanche Software,Disney Interactive Studios,18-Aug-13
Disney Sing It,Music,Zoë Mode,Disney Interactive Studios,21-Oct-08
Disney Sing It! – High School Musical 3: Senior Year,Music,Zoë Mode,Disney Interactive Studios,17-Feb-09
Disney Universe,Fantasy,Eurocom,Disney Interactive Studios,25-Oct-11
Divinity II: Ego Draconis,Action RPG,Larian Studios,CDV Software Entertainment,5-Jan-10
Divinity II: The Dragon Knight Saga,Action RPG,Larian Studios,Atlus,12-Apr-11
DJ Hero,Music,FreeStyleGames,Activision,27-Oct-09
DJ Hero 2,Music,FreeStyleGames,Activision,19-Oct-10
DmC: Devil May Cry,"Hack & Slash, Action",Ninja Theory,Capcom,15-Jan-13
DoDonPachi Dai Ou Jou Black Label Extra,Bullet Hell,Cave,5pb.,Unreleased
Do-Don-Pachi Dai-Fukkatsu[note 13],Bullet Hell,Cave,Cave,Unreleased
Dogfight 1942,Racing & Flying,CI Games,CI Games,5-Sep-12
Dollar Dash,Action & Adventure,Candygun Games,Kalypso Media,6-Mar-13
Domino Master,Card & Board,TikGames,Microsoft Studios,17-Sep-08
Don Bradman Cricket 14,Sports,Big Ant Studios,Tru Blu Entertainment,Unreleased
Don King Presents: Prizefighter,Sports,Venom Games,2K Sports,10-Jun-08
Doodle Jump for Kinect,Kinect,Lima Sky,D3 Publisher,28-Jun-13
Doom,Shooter,id Software,Bethesda Softworks,27-Sep-06
Doom 3 BFG Edition,First-person Shooter,id Software,Bethesda Softworks,16-Oct-12
Doom II: Hell on Earth,Shooter,id Software,Bethesda Softworks,26-May-10
Doritos Crash Course,Platformer,Wanako Games,Microsoft Studios,8-Dec-10
Doritos Crash Course 2,Platformer,BHVR,Microsoft Studios,8-May-13
Double D Dodgeball,Sports & Recreation,Yuke's,Yuke's,16-Jul-08
Double Dragon,Classics,Razerworks,Empire Interactive,9-May-07
Double Dragon II: Wander of the Dragons,Action & Adventure,Gravity Interactive,Barunson,5-Apr-13
